"Interestingness","Cosine","Cosine","Cosine","Cosine","Cosine","Cosine","Coherence","Coherence","Coherence","Coherence","Coherence","Coherence","AllConf","AllConf","AllConf","AllConf","AllConf","AllConf","MaxConf","MaxConf","MaxConf","MaxConf","MaxConf","MaxConf","IR","IR","IR","IR","IR","IR","Kulczynski","Kulczynski","Kulczynski","Kulczynski","Kulczynski","Kulczynski"
"numRule_3000-supA_10.0-supB_10.0-condAB_0.5-condBA_0.05",,"NaN",,,"NaN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"numRule_3000-supA_10.0-supB_10.0-condAB_0.5-condBA_0.5",,"NaN",,,"NaN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"numRule_3000-supA_10.0-supB_200.0-condAB_0.05-condBA_0.05",,"NaN",,,"NaN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"numRule_3000-supA_10.0-supB_200.0-condAB_0.05-condBA_0.5",,"NaN",,,"NaN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"numRule_3000-supA_10.0-supB_200.0-condAB_0.5-condBA_0.05",,"0.0",,,"0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"numRule_3000-supA_10.0-supB_200.0-condAB_0.5-condBA_0.5",,"0.0",,,"0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"numRule_3000-supA_200.0-supB_10.0-condAB_0.05-condBA_0.05",,"NaN",,,"NaN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"numRule_3000-supA_200.0-supB_10.0-condAB_0.05-condBA_0.5",,"NaN",,,"NaN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"numRule_3000-supA_200.0-supB_10.0-condAB_0.5-condBA_0.05",,"0.0",,,"0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"numRule_3000-supA_200.0-supB_10.0-condAB_0.5-condBA_0.5",,"0.0",,,"0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"numRule_3000-supA_200.0-supB_200.0-condAB_0.05-condBA_0.05",,"NaN",,,"NaN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"numRule_3000-supA_200.0-supB_200.0-condAB_0.05-condBA_0.5",,"NaN",,,"NaN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"numRule_3000-supA_200.0-supB_200.0-condAB_0.5-condBA_0.05",,"0.0",,,"0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"numRule_3000-supA_200.0-supB_200.0-condAB_0.5-condBA_0.5",,"0.0",,,"0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
