"< 1400","113","established","-","SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Library> "," <http://dbpedia.org/property/established> ?year FILTER ( ?year < 1400 ) }","Give me all libraries established earlier than 1400.","",""
"<http://dbpedia.org/ontology/alliance>","127","-","-","SELECT (COUNT(DISTINCT ?uri) AS ?c) WHERE { ?uri a <http://dbpedia.org/ontology/Airline> "," <http://dbpedia.org/ontology/alliance> <http://dbpedia.org/resource/Star_Alliance> }","How many airlines are members of the Star Alliance?","",""
"<http://dbpedia.org/ontology/alliance> <http://dbpedia.org/resource/star_alliance>","127","-","-","SELECT (COUNT(DISTINCT ?uri) AS ?c) WHERE { ?uri a <http://dbpedia.org/ontology/Airline> "," <http://dbpedia.org/ontology/alliance> <http://dbpedia.org/resource/Star_Alliance> }","How many airlines are members of the Star Alliance?","",""
"<http://dbpedia.org/ontology/almamater>","140","-","-","SELECT (COUNT(DISTINCT ?uri) AS ?c) WHERE { ?uri <http://dbpedia.org/ontology/profession> <http://dbpedia.org/resource/Politician> "," <http://dbpedia.org/ontology/almaMater> <http://dbpedia.org/resource/Columbia_University> }","How many politicians graduated from Columbia University?","",""
"<http://dbpedia.org/ontology/almamater> <http://dbpedia.org/resource/columbia_university>","140","-","-","SELECT (COUNT(DISTINCT ?uri) AS ?c) WHERE { ?uri <http://dbpedia.org/ontology/profession> <http://dbpedia.org/resource/Politician> "," <http://dbpedia.org/ontology/almaMater> <http://dbpedia.org/resource/Columbia_University> }","How many politicians graduated from Columbia University?","",""
"<http://dbpedia.org/ontology/architecturalstyle>","145","architecturalStyle","English_Gothic_architecture","SELECT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Building> "," <http://dbpedia.org/ontology/architecturalStyle> <http://dbpedia.org/resource/English_Gothic_architecture> "," <http://dbpedia.org/ontology/location> <http://dbpedia.org/resource/Kent> }","Show me all English Gothic buildings in Kent.",""
"<http://dbpedia.org/ontology/architecturalstyle>","145","architecturalStyle","English_Gothic_architecture","SELECT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Building> "," <http://dbpedia.org/ontology/architecturalStyle> <http://dbpedia.org/resource/English_Gothic_architecture> "," <http://dbpedia.org/ontology/location> <http://dbpedia.org/resource/Kent> }","Show me all English Gothic buildings in Kent.",""
"<http://dbpedia.org/ontology/architecturalstyle> <http://dbpedia.org/resource/english_gothic_architecture>","145","architecturalStyle","English_Gothic_architecture","SELECT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Building> "," <http://dbpedia.org/ontology/architecturalStyle> <http://dbpedia.org/resource/English_Gothic_architecture> "," <http://dbpedia.org/ontology/location> <http://dbpedia.org/resource/Kent> }","Show me all English Gothic buildings in Kent.",""
"<http://dbpedia.org/ontology/architecturalstyle> <http://dbpedia.org/resource/english_gothic_architecture>","145","architecturalStyle","English_Gothic_architecture","SELECT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Building> "," <http://dbpedia.org/ontology/architecturalStyle> <http://dbpedia.org/resource/English_Gothic_architecture> "," <http://dbpedia.org/ontology/location> <http://dbpedia.org/resource/Kent> }","Show me all English Gothic buildings in Kent.",""
"<http://dbpedia.org/ontology/capital>","166","largestCity","-","ASK WHERE { <http://dbpedia.org/resource/Egypt> <http://dbpedia.org/ontology/largestCity> ?large "," <http://dbpedia.org/ontology/capital> ?capital FILTER ( ?large = ?capital ) }","Is Egypts largest city also its capital?","",""
"<http://dbpedia.org/ontology/capital> ?capital","166","largestCity","-","ASK WHERE { <http://dbpedia.org/resource/Egypt> <http://dbpedia.org/ontology/largestCity> ?large "," <http://dbpedia.org/ontology/capital> ?capital FILTER ( ?large = ?capital ) }","Is Egypts largest city also its capital?","",""
"<http://dbpedia.org/ontology/country>","51","country","Denmark","SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Film> "," <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Denmark> }","Give me all Danish movies.","",""
"<http://dbpedia.org/ontology/country>","163","country","Greece","SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/PoliticalParty> "," <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Greece> "," <http://dbpedia.org/ontology/ideology> <http://dbpedia.org/resource/Pro-Europeanism> }","Which Greek parties are pro-European?",""
"<http://dbpedia.org/ontology/country>","163","ideology","Pro-Europeanism","SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/PoliticalParty> "," <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Greece> "," <http://dbpedia.org/ontology/ideology> <http://dbpedia.org/resource/Pro-Europeanism> }","Which Greek parties are pro-European?",""
"<http://dbpedia.org/ontology/country>","94","country","Sweden","SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Holiday> "," <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Sweden> }","Give me all Swedish holidays.","",""
"<http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/australia>","101","hometown","Australia","SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Band> "," <http://dbpedia.org/ontology/genre> <http://dbpedia.org/resource/Metalcore> { ?uri <http://dbpedia.org/ontology/hometown> <http://dbpedia.org/resource/Australia> } UNION { ?uri <http://dbpedia.org/ontology/hometown> ?h . ?h <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Australia> } }","Give me all Australian metalcore bands.","",""
"<http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/denmark>","51","country","Denmark","SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Film> "," <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Denmark> }","Give me all Danish movies.","",""
"<http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/greece>","163","country","Greece","SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/PoliticalParty> "," <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Greece> "," <http://dbpedia.org/ontology/ideology> <http://dbpedia.org/resource/Pro-Europeanism> }","Which Greek parties are pro-European?",""
"<http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/greece>","163","ideology","Pro-Europeanism","SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/PoliticalParty> "," <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Greece> "," <http://dbpedia.org/ontology/ideology> <http://dbpedia.org/resource/Pro-Europeanism> }","Which Greek parties are pro-European?",""
"<http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/sweden>","94","country","Sweden","SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Holiday> "," <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Sweden> }","Give me all Swedish holidays.","",""
"<http://dbpedia.org/ontology/draftteam> <http://dbpedia.org/resource/chicago_bulls>","186","weight","-","SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Person> "," <http://dbpedia.org/ontology/weight> ?num { ?uri <http://dbpedia.org/property/team> <http://dbpedia.org/resource/Chicago_Bulls> } UNION { ?uri <http://dbpedia.org/property/draftTeam> <http://dbpedia.org/resource/Chicago_Bulls> } UNION { ?uri <http://dbpedia.org/ontology/draftTeam> <http://dbpedia.org/resource/Chicago_Bulls> } } ORDER BY DESC(?num) OFFSET 0 LIMIT 1","Who is the heaviest player of the Chicago Bulls?","",""
"<http://dbpedia.org/ontology/elevation>","120","elevation","-","SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Mountain> "," <http://dbpedia.org/ontology/elevation> ?elevation } ORDER BY DESC(?elevation) OFFSET 0 LIMIT 1","What is the highest mountain?","",""
"<http://dbpedia.org/ontology/elevation>","165","elevation","-","SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Mountain> "," <http://dbpedia.org/ontology/elevation> ?elevation } ORDER BY DESC(?elevation) OFFSET 1 LIMIT 1","What is the second highest mountain on Earth?","",""
"<http://dbpedia.org/ontology/elevation>","165","elevation","-","SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Mountain> "," <http://dbpedia.org/ontology/elevation> ?elevation } ORDER BY DESC(?elevation) OFFSET 1 LIMIT 1","What is the second highest mountain on Earth?","",""
"<http://dbpedia.org/ontology/elevation> ?elevation","120","elevation","-","SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Mountain> "," <http://dbpedia.org/ontology/elevation> ?elevation } ORDER BY DESC(?elevation) OFFSET 0 LIMIT 1","What is the highest mountain?","",""
"<http://dbpedia.org/ontology/elevation> ?elevation","165","elevation","-","SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Mountain> "," <http://dbpedia.org/ontology/elevation> ?elevation } ORDER BY DESC(?elevation) OFFSET 1 LIMIT 1","What is the second highest mountain on Earth?","",""
"<http://dbpedia.org/ontology/elevation> ?elevation","165","elevation","-","SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Mountain> "," <http://dbpedia.org/ontology/elevation> ?elevation } ORDER BY DESC(?elevation) OFFSET 1 LIMIT 1","What is the second highest mountain on Earth?","",""
"<http://dbpedia.org/ontology/genre>","101","hometown","Australia","SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Band> "," <http://dbpedia.org/ontology/genre> <http://dbpedia.org/resource/Metalcore> { ?uri <http://dbpedia.org/ontology/hometown> <http://dbpedia.org/resource/Australia> } UNION { ?uri <http://dbpedia.org/ontology/hometown> ?h . ?h <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Australia> } }","Give me all Australian metalcore bands.","",""
