Interestingness,Coherence,Coherence,Coherence,Coherence,Coherence,Coherence,AllConf,AllConf,AllConf,AllConf,AllConf,AllConf,MaxConf,MaxConf,MaxConf,MaxConf,MaxConf,MaxConf,IR,IR,IR,IR,IR,IR,Kulczynski,Kulczynski,Kulczynski,Kulczynski,Kulczynski,Kulczynski,Cosine,Cosine,Cosine,Cosine,Cosine,Cosine
Thresold,0.001,0.001,0.001,0.045,0.045,0.045,0.001,0.001,0.001,0.045,0.045,0.045,0.001,0.001,0.001,0.045,0.045,0.045,0.001,0.001,0.001,0.045,0.045,0.045,0.001,0.001,0.001,0.045,0.045,0.045,0.001,0.001,0.001,0.045,0.045,0.045
Parts-of-speech,NN,JJ,VB,NN,JJ,VB,NN,JJ,VB,NN,JJ,VB,NN,JJ,VB,NN,JJ,VB,NN,JJ,VB,NN,JJ,VB,NN,JJ,VB,NN,JJ,VB,NN,JJ,VB,NN,JJ,VB
nGram_1-numRule_1000-supA_200.0-supB_100.0-condAB_0.1-condBA_0.001,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nGram_1-numRule_1000-supA_200.0-supB_100.0-condAB_0.1-condBA_0.8,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nGram_1-numRule_1000-supA_200.0-supB_100.0-condAB_0.8-condBA_0.001,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nGram_1-numRule_1000-supA_200.0-supB_100.0-condAB_0.8-condBA_0.8,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nGram_1-numRule_1000-supA_200.0-supB_20.0-condAB_0.1-condBA_0.001,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nGram_1-numRule_1000-supA_200.0-supB_20.0-condAB_0.1-condBA_0.8,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nGram_1-numRule_1000-supA_200.0-supB_20.0-condAB_0.8-condBA_0.001,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nGram_1-numRule_1000-supA_200.0-supB_20.0-condAB_0.8-condBA_0.8,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nGram_1-numRule_4000-supA_10.0-supB_100.0-condAB_0.1-condBA_0.001,0.00413908,0.01605791,0.00016465,0.00413908,0.01605791,0.00016465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nGram_1-numRule_4000-supA_10.0-supB_100.0-condAB_0.1-condBA_0.8,0.00413908,0.01605791,0.00016465,0.00413908,0.01605791,0.00016465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nGram_1-numRule_4000-supA_10.0-supB_100.0-condAB_0.8-condBA_0.001,0.00165563,0.0125,0,0.00165563,0.0125,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nGram_1-numRule_4000-supA_10.0-supB_100.0-condAB_0.8-condBA_0.8,0.00165563,0.0125,0,0.00165563,0.0125,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nGram_1-numRule_4000-supA_10.0-supB_20.0-condAB_0.1-condBA_0.001,0.00551906,0.01744003,7.13E-05,0.00551906,0.01744003,7.13E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
